FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
61107CHMCL765NM,CHEMICAL PROCESSING INC,TRICHLOROETHYLENE,     79-01-6,79016,Y,Y,Y,765 N MADISON ST,ROCKFORD,WINNEBAGO,IL,NA,TRICHLOROETHYLENE,332
60639VJDLN1830N,V J DOLAN & COINC,METHYL ETHYL KETONE,     78-93-3,78933,N,N,Y,1830 N LARAMIE AVE,CHICAGO,COOK,IL,NA,METHYL ETHYL KETONE,325
60110JMSBDDAYLA,JAMES B DAY & CO,METHYL ISOBUTYL KETONE,    108-10-1,108101,N,Y,Y,1 DAY LN,CARPENTERSVILLE,KANE,IL,NA,METHYL ISOBUTYL KETONE,325
62739MRNCR134CI,COFFEEN POWER STATION,SELENIUM COMPOUNDS,N725,N725,N,Y,N,134 CIPS LN,COFFEEN,MONTGOMERY,IL,NA,SELENIUM COMPOUNDS,2211
60650BRNBL16201,BARON-BLAKESLEE,DICHLOROMETHANE,     75-09-2,75092,Y,Y,Y,1634 S LARAMIE AVE,CICERO,COOK,IL,NA,DICHLOROMETHANE,4246
60609JSLYN3700S,MACLEAN POWER JOSLYN,LEAD,   7439-92-1,7439921,Y,Y,Y,3700 S MORGAN STREET,CHICAGO,COOK,IL,NA,LEAD,332
60434CTRPLROUTE,CATERPILLAR INC-IMPLEMENT & STEERING SYSTEM (JOLIET IL),PHOSPHORIC ACID,   7664-38-2,7664382,N,N,N,2200 CHANNAHON RD,JOLIET,WILL,IL,NA,PHOSPHORIC ACID,333
60501RGTRM8600W,EQUILON ENTERPRISES LLC ARGO TERMINAL,TOLUENE,    108-88-3,108883,N,Y,N,8600 W 71ST ST,BEDFORD PARK,COOK,IL,NA,TOLUENE,4247
60455HYDRS8407S,HYDROSOL  INC.,METHYL ETHYL KETONE,     78-93-3,78933,N,N,Y,8407 S 77TH AVE,BRIDGEVIEW,COOK,IL,NA,METHYL ETHYL KETONE,325
61130HYDRL4950M,EATON HYDRAULICS,COPPER,   7440-50-8,7440508,N,N,N,4950 MARLIN DR,ROCKFORD,WINNEBAGO,IL,NA,COPPER,333
60501RGTRM8800W,ARGO TERMINAL CO,ETHYLENE GLYCOL,    107-21-1,107211,N,Y,N,8800 W 71ST ST,BEDFORD PARK,COOK,IL,NA,ETHYLENE GLYCOL,4247
60174MRNTM3709O,OMRON AUTOMOTIVE ELECTRONICS,LEAD COMPOUNDS,N420,N420,N,Y,Y,3709 OHIO AVE,SAINT CHARLES,KANE,IL,NA,LEAD COMPOUNDS,335
60439NCLCR135TH,CITGO PETROLEUM CORP LEMONT REFINERY,METHYL ETHYL KETONE,     78-93-3,78933,N,N,Y,135TH ST & NEW AVE,LEMONT,WILL,IL,NA,METHYL ETHYL KETONE,324
60625MDRND5419N,MODERN DIE CASTING CO,COPPER,   7440-50-8,7440508,N,N,N,5419 N KEDZIE AVE,CHICAGO,COOK,IL,NA,COPPER,331
